"Label","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","1,539","1.8%","1.4%","2.9%","2.0%","6.8%","8.6%","17.7%","32.7%","11.4%","14.7%","109,844","131,703","","21.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","441","2.0%","0.0%","3.6%","0.0%","1.8%","3.2%","11.3%","30.8%","15.0%","32.2%","140,536","178,524","","(X)","17.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","358","0.0%","0.0%","4.5%","0.0%","2.2%","3.9%","10.9%","27.1%","11.7%","39.7%","163,636","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,098","1.6%","2.0%","2.6%","2.8%","8.7%","10.8%","20.3%","33.4%","9.9%","7.7%","100,724","111,588","","(X)","(X)","23.4%"
"Census Tract 103, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,253","5.1%","3.3%","2.4%","7.9%","8.0%","15.8%","10.9%","26.1%","9.6%","11.0%","91,758","106,827","","32.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","719","1.5%","3.1%","0.0%","3.9%","3.3%","18.4%","9.6%","32.8%","15.4%","12.0%","102,554","123,261","","(X)","31.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","439","0.0%","0.0%","0.0%","4.6%","3.6%","7.1%","11.2%","39.4%","25.3%","8.9%","115,469","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","534","9.9%","3.6%","5.6%","13.3%","14.2%","13.9%","12.5%","15.5%","1.7%","9.7%","54,545","80,137","","(X)","(X)","32.4%"
"Census Tract 104, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,608","18.7%","8.3%","8.3%","10.6%","17.5%","10.1%","14.4%","7.8%","3.5%","0.8%","38,037","50,656","","47.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","845","9.0%","4.3%","7.8%","16.3%","13.3%","12.2%","22.0%","7.9%","5.7%","1.5%","49,427","63,516","","(X)","58.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","281","7.8%","0.0%","12.8%","0.0%","18.9%","13.9%","25.3%","16.7%","0.0%","4.6%","71,587","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","763","29.4%","12.7%","8.9%","5.8%","27.0%","6.3%","6.0%","3.9%","0.0%","0.0%","22,043","32,390","","(X)","(X)","34.9%"
"Census Tract 105, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,290","14.7%","2.9%","0.9%","3.4%","13.0%","14.7%","7.3%","15.8%","18.2%","9.1%","79,063","98,048","","19.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","579","7.8%","0.0%","0.0%","10.4%","9.0%","10.7%","2.1%","3.5%","29.2%","27.5%","165,489","138,894","","(X)","15.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","442","0.0%","0.0%","0.0%","0.0%","11.8%","14.0%","0.0%","3.4%","34.8%","36.0%","195,187","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,711","17.0%","3.9%","1.2%","1.0%","14.4%","16.1%","9.1%","20.0%","14.5%","2.9%","67,125","84,220","","(X)","(X)","20.1%"
"Census Tract 106, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","3,716","5.5%","4.2%","5.1%","2.1%","3.7%","10.7%","12.1%","24.8%","11.6%","20.1%","107,607","136,299","","25.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,035","1.0%","2.4%","11.9%","0.0%","9.0%","2.5%","2.2%","17.5%","12.4%","41.2%","171,292","194,940","","(X)","24.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","820","1.2%","3.0%","2.2%","0.0%","2.4%","2.2%","1.8%","20.9%","14.3%","52.0%","201,667","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","2,681","7.3%","4.9%","2.5%","2.9%","1.6%","13.8%","15.9%","28.0%","11.4%","11.6%","101,840","112,818","","(X)","(X)","25.8%"
"Census Tract 107, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,101","11.2%","2.6%","3.4%","12.0%","9.6%","12.2%","16.1%","20.9%","6.7%","5.4%","73,688","89,923","","25.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","135","0.0%","0.0%","5.9%","19.3%","0.0%","14.8%","6.7%","28.1%","13.3%","11.9%","111,607","138,606","","(X)","12.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","110","0.0%","0.0%","0.0%","23.6%","0.0%","10.0%","8.2%","27.3%","16.4%","14.5%","115,833","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","966","12.7%","3.0%","3.0%","11.0%","11.0%","11.8%","17.4%","19.9%","5.8%","4.5%","72,283","83,119","","(X)","(X)","27.4%"
"Census Tract 108, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","782","25.2%","12.4%","3.5%","4.9%","12.4%","12.0%","8.2%","3.3%","14.3%","3.8%","45,278","66,259","","26.7%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","86","0.0%","31.4%","9.3%","0.0%","8.1%","9.3%","15.1%","8.1%","0.0%","18.6%","-","119,947","","(X)","15.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","78","0.0%","34.6%","10.3%","0.0%","9.0%","0.0%","16.7%","9.0%","0.0%","20.5%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","696","28.3%","10.1%","2.7%","5.5%","12.9%","12.4%","7.3%","2.7%","16.1%","2.0%","43,125","59,625","","(X)","(X)","28.2%"
"Census Tract 109, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,263","11.6%","5.8%","15.6%","5.9%","25.8%","13.2%","7.9%","11.4%","2.7%","0.0%","41,660","49,759","","48.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","679","7.2%","1.5%","20.5%","3.4%","32.0%","9.3%","3.2%","18.0%","5.0%","0.0%","42,481","56,549","","(X)","51.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","153","7.8%","0.0%","22.9%","0.0%","20.3%","13.1%","14.4%","13.7%","7.8%","0.0%","47,232","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","584","16.8%","10.8%","12.3%","6.5%","23.6%","17.8%","8.4%","3.8%","0.0%","0.0%","36,591","39,056","","(X)","(X)","45.2%"
"Census Tract 110, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,645","5.9%","3.6%","3.3%","8.1%","13.1%","13.6%","8.4%","25.4%","10.5%","8.2%","84,375","99,984","","20.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","636","0.0%","0.0%","0.0%","5.5%","4.9%","5.7%","4.1%","31.9%","25.9%","22.0%","145,000","167,450","","(X)","21.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","494","0.0%","0.0%","0.0%","3.6%","6.3%","0.0%","1.6%","28.1%","32.0%","28.3%","169,032","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","2,009","7.7%","4.7%","4.3%","8.9%","15.7%","16.2%","9.7%","23.4%","5.6%","3.8%","64,725","78,627","","(X)","(X)","20.1%"
"Census Tract 111, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,741","11.6%","4.0%","4.7%","7.2%","10.1%","9.5%","15.1%","13.9%","11.2%","12.7%","79,628","101,625","","36.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,047","5.2%","1.9%","3.8%","3.9%","9.5%","12.3%","19.6%","11.3%","15.6%","17.0%","98,168","122,006","","(X)","38.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","596","0.0%","1.7%","1.7%","0.8%","6.0%","12.4%","24.3%","12.4%","16.6%","24.0%","101,957","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","694","21.3%","7.1%","6.8%","12.2%","10.4%","10.5%","10.4%","13.4%","3.3%","4.6%","45,192","62,153","","(X)","(X)","32.6%"
